ZFAS1
YBX1
UQCRQ
UQCRH
UQCRB
UBC
UBB
UBA52
TYROBP
TXNIP
TXN
TUBB
TSPO
TPT1
TPI1
TOMM7
TMSB4X
TMSB10
TMA7
SUMO2
SRSF5
SRP14
SRGN
SNHG5
SNHG29
SLC25A6
SLC25A5
SLC25A3
SKP1
SH3BGRL3
SET
SERF2
SEC62
SAT1
S100A6
S100A4
S100A2
S100A16
S100A11
S100A10
RPLP0
RAN
RACK1
RAC1
PTPRC
PTMS
PTMA
PSMA7
PSAP
PRDX1
PPIA
PKM
PFN1
PFDN5
PABPC1
OAZ1
NPM1
NOP53
NME2
NEAT1
NDUFB2
NDUFA4
NDUFA13
NAP1L1
NACA
MZT2B
MYL6
MYL12B
MYL12A
MT2A
MT1E
MT-ND4L
MIR205HG
MIF
MALAT1
LST1
LGALS1
LDHB
LDHA
KRT5
KRT19
KLF2
JUND
ITM2B
IL32
HSPA8
HSP90AB1
HSP90AA1
HNRNPA2B1
HNRNPA1
HMGN1
HMGB1
HLA-E
HLA-C
HLA-B
HLA-A
HINT1
H3F3B
H3F3A
H2AFZ
GUK1
GSTP1
GPX4
GNAS
GAPDH
GABARAP
FTL
FTH1
FCN1
FCER1G
FAU
ENO1
ELOB
EIF4A1
EIF3K
EIF1
EEF2
EEF1G
EEF1D
EEF1B2
EEF1A1
EDF1
DYNLL1
DDX5
CYBA
CTSS
CSTA
CST3
COX7C
COX6C
COX4I1
CORO1A
CHCHD2
CFL1
CD81
CD63
CD48
CALM2
CALM1
C9orf16
BTG1
BTF3
BEX3
B2M
ATP5PF
ATP5MPL
ATP5MG
ATP5MC2
ATP5F1E
ATP5F1D
ARPC3
ARPC2
ANXA2
ACTG1
ACTB
RPS20
RPL26L1
RPL18
RPL31
RPS5
RPL6
RPS18
RPL3
RPS6KA5
RPS16
RPS19
RPL18A
RPL28
RPL19
RPS6KB1
RPL34
RPS13
RPS12
RPL24
RPS15
RPL22
RPS6KA1
RPS25
RPL21
RPL5
RPS10
RPL23
RPS4Y1
RPL36
RPL27
RPS15A
RPS6KC1
RPL35
RPS6
RPLP1
RPS24
RPS2
RPS11
RPL13A
RPL11
RPS8
RPS27A
RPL32
RPS3A
RPL37
RPL7L1
RPL10
RPL7
RPL7A
RPS3
RPL30
RPL8
RPL26
RPL29
RPS6KA4
RPL22L1
RPL9
RPS14
RPL36AL
RPL27A
RPL13
RPSA
RPS9
RPS21
RPS7
RPL38
RPL4
RPL15
RPS6KB2
RPS6KA3
RPLP2
RPS27
RPS17
RPL35A
RPS27L
RPS23
RPS19BP1
RPL14
RPS26
RPL37A
RPL12
RPS4X
RPL23A
MT-CO2
MT-CYB
RPL10A
MT-ND2
MT-ND5
MT-CO1
MT-ND3
MT-ND4
MT-ND1
MT-ATP6
RPL39
MT-CO3
RPS29
RPL41
RPS28
RPL36A
RPL17
